id,title,price,stock
1,Essence Mascara Lash Princess,9.99,99
2,Eyeshadow Palette with Mirror,19.99,34
3,Powder Canister,14.99,89
4,Red Lipstick,12.99,91
5,Red Nail Polish,8.99,79
6,Calvin Klein CK One,49.99,29
7,Chanel Coco Noir Eau De,129.99,58
8,Dior J'adore,89.99,98
9,Dolce Shine Eau de,69.99,4
10,Gucci Bloom Eau de,79.99,91
11,Annibale Colombo Bed,1899.99,88
12,Annibale Colombo Sofa,2499.99,60
13,Bedside Table African Cherry,299.99,64
14,Knoll Saarinen Executive Conference Chair,499.99,26
15,Wooden Bathroom Sink With Mirror,799.99,7
16,Apple,1.99,8
17,Beef Steak,12.99,86
18,Cat Food,8.99,46
19,Chicken Meat,9.99,97
20,Cooking Oil,4.99,10
21,Cucumber,1.49,84
22,Dog Food,10.99,71
23,Eggs,2.99,9
24,Fish Steak,14.99,74
25,Green Bell Pepper,1.29,33
26,Green Chili Pepper,0.99,3
27,Honey Jar,6.99,34
28,Ice Cream,5.49,27
29,Juice,3.99,50
30,Kiwi,2.49,99
31,Lemon,0.79,31
32,Milk,3.49,27
33,Mulberry,4.99,99
34,Nescafe Coffee,7.99,57
35,Potatoes,2.29,13
36,Protein Powder,19.99,80
37,Red Onions,1.99,82
38,Rice,5.99,59
39,Soft Drinks,1.99,53
40,Strawberry,3.99,46
41,Tissue Paper Box,2.49,86
42,Water,0.99,53
43,Decoration Swing,59.99,47
44,Family Tree Photo Frame,29.99,77
45,House Showpiece Plant,39.99,28
46,Plant Pot,14.99,59
47,Table Lamp,49.99,9
48,Bamboo Spatula,7.99,37
49,Black Aluminium Cup,5.99,75
50,Black Whisk,9.99,73
51,Boxed Blender,39.99,9
52,Carbon Steel Wok,29.99,40
53,Chopping Board,12.99,14
54,Citrus Squeezer Yellow,8.99,22
55,Egg Slicer,6.99,40
56,Electric Stove,49.99,21
57,Fine Mesh Strainer,9.99,85
58,Fork,3.99,7
59,Glass,4.99,46
60,Grater Black,10.99,84
61,Hand Blender,34.99,84
62,Ice Cube Tray,5.99,13
63,Kitchen Sieve,7.99,68
64,Knife,14.99,7
65,Lunch Box,12.99,94
66,Microwave Oven,89.99,59
67,Mug Tree Stand,15.99,88
68,Pan,24.99,90
69,Plate,3.99,66
70,Red Tongs,6.99,82
71,Silver Pot With Glass Cap,39.99,40
72,Slotted Turner,8.99,88
73,Spice Rack,19.99,79
74,Spoon,4.99,59
75,Tray,16.99,71
76,Wooden Rolling Pin,11.99,80
77,Yellow Peeler,5.99,35
78,Apple MacBook Pro 14 Inch Space Grey,1999.99,24
79,Asus Zenbook Pro Dual Screen Laptop,1799.99,45
80,Huawei Matebook X Pro,1399.99,75
81,Lenovo Yoga 920,1099.99,40
82,New DELL XPS 13 9300 Laptop,1499.99,74
83,Blue & Black Check Shirt,29.99,38
84,Gigabyte Aorus Men Tshirt,24.99,90
85,Man Plaid Shirt,34.99,82
86,Man Short Sleeve Shirt,19.99,2
87,Men Check Shirt,27.99,95
88,Nike Air Jordan 1 Red And Black,149.99,7
89,Nike Baseball Cleats,79.99,12
90,Puma Future Rider Trainers,89.99,90
91,Sports Sneakers Off White & Red,119.99,17
92,Sports Sneakers Off White Red,109.99,62
93,Brown Leather Belt Watch,89.99,32
94,Longines Master Collection,1499.99,100
95,Rolex Cellini Date Black Dial,8999.99,40
96,Rolex Cellini Moonphase,12999.99,36
97,Rolex Datejust,10999.99,86
98,Rolex Submariner Watch,13999.99,55
99,Amazon Echo Plus,99.99,61
100,Apple Airpods,129.99,67
101,Apple AirPods Max Silver,549.99,59
102,Apple Airpower Wireless Charger,79.99,1
103,Apple HomePod Mini Cosmic Grey,99.99,27
104,Apple iPhone Charger,19.99,31
105,Apple MagSafe Battery Pack,99.99,1
106,Apple Watch Series 4 Gold,349.99,33
107,Beats Flex Wireless Earphones,49.99,50
108,iPhone 12 Silicone Case with MagSafe Plum,29.99,69
109,Monopod,19.99,48
110,Selfie Lamp with iPhone,14.99,58
111,Selfie Stick Monopod,12.99,11
112,TV Studio Camera Pedestal,499.99,15
113,Generic Motorcycle,3999.99,34
114,Kawasaki Z800,8999.99,52
115,MotoGP CI.H1,14999.99,10
116,Scooter Motorcycle,2999.99,84
117,Sportbike Motorcycle,7499.99,0
118,Attitude Super Leaves Hand Soap,8.99,94
119,Olay Ultra Moisture Shea Butter Body Wash,12.99,34
120,Vaseline Men Body and Face Lotion,9.99,95
121,iPhone 5s,199.99,25
122,iPhone 6,299.99,60
123,iPhone 13 Pro,1099.99,56
124,iPhone X,899.99,37
125,Oppo A57,249.99,19
126,Oppo F19 Pro Plus,399.99,78
127,Oppo K1,299.99,55
128,Realme C35,149.99,48
129,Realme X,299.99,12
130,Realme XT,349.99,80
131,Samsung Galaxy S7,299.99,67
132,Samsung Galaxy S8,499.99,0
133,Samsung Galaxy S10,699.99,19
134,Vivo S1,249.99,50
135,Vivo V9,299.99,82
136,Vivo X21,499.99,7
137,American Football,19.99,53
138,Baseball Ball,8.99,100
139,Baseball Glove,24.99,22
140,Basketball,14.99,75
141,Basketball Rim,39.99,43
142,Cricket Ball,12.99,30
143,Cricket Bat,29.99,98
144,Cricket Helmet,44.99,10
145,Cricket Wicket,29.99,25
146,Feather Shuttlecock,5.99,95
147,Football,17.99,96
148,Golf Ball,9.99,84
149,Iron Golf,49.99,90
150,Metal Baseball Bat,29.99,16
151,Tennis Ball,6.99,28
152,Tennis Racket,49.99,6
153,Volleyball,11.99,0
154,Black Sun Glasses,29.99,60
155,Classic Sun Glasses,24.99,1
156,Green and Black Glasses,34.99,24
157,Party Glasses,19.99,86
158,Sunglasses,22.99,27
159,iPad Mini 2021 Starlight,499.99,47
160,Samsung Galaxy Tab S8 Plus Grey,599.99,62
161,Samsung Galaxy Tab White,349.99,92
162,Blue Frock,29.99,52
163,Girl Summer Dress,19.99,43
164,Gray Dress,34.99,55
165,Short Frock,24.99,22
166,Tartan Dress,39.99,73
167,300 Touring,28999.99,54
168,Charger SXT RWD,32999.99,57
169,Dodge Hornet GT Plus,24999.99,82
170,Durango SXT RWD,36999.99,95
171,Pacifica Touring,31999.99,53
172,Blue Women's Handbag,49.99,76
173,Heshe Women's Leather Bag,129.99,99
174,Prada Women Bag,599.99,75
175,White Faux Leather Backpack,39.99,39
176,Women Handbag Black,59.99,11
177,Black Women's Gown,129.99,25
178,Corset Leather With Skirt,89.99,30
179,Corset With Black Skirt,79.99,33
180,Dress Pea,49.99,6
181,Marni Red & Black Suit,179.99,62
182,Green Crystal Earring,29.99,54
183,Green Oval Earring,24.99,73
184,Tropical Earring,19.99,1
185,Black & Brown Slipper,19.99,3
186,Calvin Klein Heel Shoes,79.99,93
187,Golden Shoes Woman,49.99,88
188,Pampi Shoes,29.99,49
189,Red Shoes,34.99,7
190,IWC Ingenieur Automatic Steel,4999.99,90
191,Rolex Cellini Moonphase,15999.99,52
192,Rolex Datejust Women,10999.99,4
193,Watch Gold for Women,799.99,0
194,Women's Wrist Watch,129.99,12
